kevin, Alison
wendy, Alison
ken, Alison cream soda
wendy, Alison cream
kevin, soda
ken, soda
wendy, 
kendra, 
marci, 
ken, 
wendy, 
ken, 
kendra, 
wendy, 
kendra, 
wendy, 
marci, but I'm going to complain about it it they don't make white gravy 
wendy,  regular
marci, regular regular 
ken, 
wendy, I was kind of wondering about that bottled water for for the sparkling water but but they don't make this
marci, but they don't make this kind at all anymore
kendra, make this all anymore 
wendy, 
marci, 
kendra, 
ken, 
marci, 
kendra, 
wendy, 
marci, 
wendy, 
marci, 
wendy, 
kevin, 
kendra, 
ken, 
marci, 
ken, that's
kendra, that's
kevin, that's
kendra, that's
kevin, that's
kendra, that's
wendy, that's
marci, that's
wendy, that's
kendra, that's
marci, that's
kevin, that's
kendra, that's
ken, that's
kevin, that's
kendra, that's
wendy, that's
marci, that's
kendra, that's
marci, that's
ken, that's right
kevin, that's right right there is more to tonight
wendy, 
x, 
kendra, 
wendy, well I have 
marci, 
ken, 
marci, 
kendra, well
wendy, well she's in here stopping I
marci, stopping I hope you're having
wendy, I hope you're having Wendy
marci, having Wendy
kevin, Wendy has tried her hand hand for the first time at making a clue or
ken, or or clue well
kevin, well
wendy, well
ken, well
wendy, well
kendra, well
kevin, well
kendra, well
kevin, well it's definitely stupid
ken, it's definitely stupid
kevin, stupid
kendra, stupid
wendy, stupid
ken, stupid
kevin, stupid
wendy, stupid
marci, stupid
wendy, stupid
x, stupid
wendy, stupid
marci, stupid
wendy, stupid
kevin, stupid 
wendy, 
ken, 
kendra, 
kevin, 
ken, 
kendra, 
marci, 
wendy, 
marci, I
ken, I
marci, I
ken, I don't think any
kevin, I don't think any will guess it though
wendy, any
kevin, though so
marci, so
ken, so so that's
kevin, so that's the whole whole point of
wendy, of
kevin, of
wendy, of
kendra, of
marci, of
kevin, of
kendra, of
kevin, of
wendy, of
kendra, of
kevin, of
marci, of an exponential
kevin, of an exponential for
marci, for Xbox
wendy, for Xbox
marci, 
wendy, 
kevin, 
kendra, 
wendy, 
ken, 
kendra, 
ken, 
wendy, 
ken, 
marci, on my tooth
kendra,  on my tooth it's
marci, it's
wendy, it's stuck in your gum
kevin, 
wendy, shootout
marci, shootout
wendy, 
kevin, 
wendy, 
kevin, 
wendy, 
ken, images don't open
kendra, images don't open your mouth
wendy, open your mouth
ken, 
marci, 
wendy, 
marci,  barely
wendy, barely see it
ken, barely see it
marci, 
wendy, Big Big Lots on YouTube
marci, 
wendy, 
kendra, 
marci, 
kendra, 
wendy, everybody
kevin, 
wendy, 
kevin, 
ken, 
wendy, 
marci, 
kendra, 
marci, tired
wendy, tired
marci, tired
kendra, 
wendy, yeah I I I mean
kendra, I mean
wendy, mean when Mary tells
kendra, mean when Mary tells me to go to sleep over the weekend you you know I need to go to sleep over the weekend
wendy, weekend that's good you're getting some good rest I I have mentioned about 10 out my
marci, have mentioned mentioned about 10 out my
